Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZSX20,08/03/2020,892.5,899.75,891.25,896.25,3.75,+0.42%,148815,826579
ZSX20,07/31/2020,888.75,894.75,888.75,892.5,4.25,+0.48%,140379,823901
ZSX20,07/30/2020,885,890,880.75,888.25,3,+0.34%,179925,826075
ZSX20,07/29/2020,887.5,889.25,883.5,885.25,-2.25,-0.25%,204316,829195
ZSX20,07/28/2020,896.5,896.5,883,887.5,-12.25,-1.36%,277024,833537
ZSX20,07/27/2020,897.5,903.75,895,899.75,0.5,+0.06%,156401,843409
ZSX20,07/24/2020,900,903.75,894.75,899.25,-0.75,-0.08%,179231,839398
ZSX20,07/23/2020,895,901,893.5,900,4.5,+0.50%,166620,842979
ZSX20,07/22/2020,893,898,888.25,895.5,2.5,+0.28%,171161,838133
ZSX20,07/21/2020,899.25,899.25,890.5,893,-7,-0.78%,160106,837841
ZSX20,07/20/2020,896.75,902,893.75,900,5,+0.56%,150531,828938
ZSX20,07/17/2020,891,896.25,890.75,895,4,+0.45%,128943,822090
ZSX20,07/16/2020,883.5,893.5,883,891,8.25,+0.93%,173021,819312
ZSX20,07/15/2020,878.75,884,876.5,882.75,5.25,+0.60%,154085,818306
ZSX20,07/14/2020,876.25,882.75,873.75,877.5,2.25,+0.26%,175765,818767
ZSX20,07/13/2020,885,886.75,871.5,875.25,-15.5,-1.74%,240726,818167
ZSX20,07/10/2020,901.5,904.75,887.5,890.75,-10.75,-1.19%,221528,826322
ZSX20,07/09/2020,898.75,909.5,896.5,901.5,4.25,+0.47%,189543,835193
ZSX20,07/08/2020,902,902.25,895,897.25,-5.25,-0.58%,183866,834447
ZSX20,07/07/2020,906.75,909.25,900.25,902.5,-3.75,-0.41%,172740,840495
ZSX20,07/06/2020,903,912.5,902.5,906.25,9.5,+1.06%,219928,838125
ZSX20,07/02/2020,898.25,903,895.5,896.75,-2.25,-0.25%,161028,826759
ZSX20,07/01/2020,882,902,881,899,16.75,+1.90%,308865,828631
ZSX20,06/30/2020,861,887,859.5,882.25,20.75,+2.41%,352540,811476
ZSX20,06/29/2020,860,865,856.75,861.5,0.25,+0.03%,212258,800977
ZSX20,06/26/2020,867.75,870.25,859.5,861.25,-7,-0.81%,277261,808921
ZSX20,06/25/2020,870,870.5,860,868.25,-1.75,-0.20%,251428,838450
ZSX20,06/24/2020,874.25,876.75,868.5,870,-4,-0.46%,265691,839588
ZSX20,06/23/2020,879.25,880.25,865,874,-5.25,-0.60%,319486,862796
ZSX20,06/22/2020,879,881.5,877,879.25,-1.5,-0.17%,214835,876264
ZSX20,06/19/2020,876,884.25,874,880.75,4.75,+0.54%,213794,878114
ZSX20,06/18/2020,877,880.25,875,876,-0.5,-0.06%,230381,878750
ZSX20,06/17/2020,872.75,879.5,866,876.5,3.5,+0.40%,250029,876634
ZSX20,06/16/2020,877.5,879.75,872.25,873,-3,-0.34%,228052,887070
ZSX20,06/15/2020,879,880,871.25,876,-3.75,-0.43%,227741,893401
ZSX20,06/12/2020,876.75,884.5,874.5,879.75,3,+0.34%,288183,896305
ZSX20,06/11/2020,876.5,879.75,872.75,876.75,-0.25,-0.03%,250149,879441
ZSX20,06/10/2020,876,880.75,875,877,0.5,+0.06%,240041,871980
ZSX20,06/09/2020,877.5,879.75,870.5,876.5,11.75,+1.36%,285178,871756
ZSN20,06/08/2020,869.25,871.5,861.75,864.75,-3,-0.35%,234121,869844
ZSN20,06/05/2020,868,873.5,865.25,867.75,0,0.00%,281558,885480
ZSN20,06/04/2020,857,873.25,855.25,867.75,10.25,+1.20%,301184,884981
ZSN20,06/03/2020,851.75,858,851.25,857.5,7,+0.82%,202268,877842
ZSN20,06/02/2020,840,856,838.5,850.5,10,+1.19%,226401,875645
ZSN20,06/01/2020,843.5,849,834,840.5,-0.25,-0.03%,210175,875592
ZSN20,05/29/2020,846,846,837,840.75,-6.25,-0.74%,177307,875128
ZSN20,05/28/2020,848.5,852.25,838.75,847,-1.5,-0.18%,164240,873871
ZSN20,05/27/2020,848,851.25,843.5,848.5,1.5,+0.18%,165357,871948
ZSN20,05/26/2020,832.5,849,832.25,847,13.75,+1.65%,207259,872254
ZSN20,05/22/2020,835.25,839.5,828.5,833.25,-1.75,-0.21%,193794,872537
ZSN20,05/21/2020,846.75,848.5,833.75,835,-11.75,-1.39%,191372,870500
ZSN20,05/20/2020,842,849.5,842,846.75,4.25,+0.50%,126076,864634
ZSN20,05/19/2020,846,848.5,839.25,842.5,-2.5,-0.30%,157165,861248
ZSN20,05/18/2020,840.5,847.75,838.75,845,6.5,+0.78%,135417,865514
ZSN20,05/15/2020,838,843,836.5,838.5,1.5,+0.18%,144906,865301
ZSN20,05/14/2020,839.5,844.5,835,837,-2.5,-0.30%,135478,869277
ZSN20,05/13/2020,850.25,854,836.5,839.5,-12.5,-1.47%,206380,859869
ZSN20,05/12/2020,854,858,849.5,852,-3,-0.35%,183582,849557
ZSN20,05/11/2020,854,861.25,848.5,855,4.5,+0.53%,162300,842801
ZSN20,05/08/2020,844,856.5,843.5,850.5,6.25,+0.74%,169677,839684
ZSN20,05/07/2020,832,848.5,832,844.25,11.75,+1.41%,257408,829794
ZSN20,05/06/2020,839.5,841.75,831.5,832.5,-7,-0.83%,156402,812014
ZSN20,05/05/2020,837.5,841,833.75,839.5,3,+0.36%,122574,802711
ZSN20,05/04/2020,848.25,848.25,832.25,836.5,-13,-1.53%,155510,803035
ZSN20,05/01/2020,854.5,855.75,847,849.5,-5.75,-0.67%,129566,797302
ZSN20,04/30/2020,838.75,856,838.25,855.25,17.75,+2.12%,244714,802830
ZSN20,04/29/2020,831.75,840.75,830,837.5,5.5,+0.66%,197312,809138
ZSN20,04/28/2020,837,842.5,829.5,832,-4.5,-0.54%,248042,814337
ZSN20,04/27/2020,838.5,846.25,835.25,836.5,-3,-0.36%,221822,825987
ZSN20,04/24/2020,847.5,850.75,834,839.5,-7.25,-0.86%,259718,833286
ZSN20,04/23/2020,842.5,856.75,841.75,846.75,4.25,+0.50%,279154,860110
ZSN20,04/22/2020,841,848.75,836.25,842.5,1.75,+0.21%,288699,853391
ZSN20,04/21/2020,835.75,843.25,818.5,840.75,4.5,+0.54%,303344,844117
ZSN20,04/20/2020,843.5,845.75,834.25,836.25,-6,-0.71%,159435,841205
ZSN20,04/17/2020,848.75,851.75,841.5,842.25,-3.5,-0.41%,176697,834176
ZSN20,04/16/2020,851,857,845,845.75,-6,-0.70%,175238,834326
ZSN20,04/15/2020,856,862.5,848.75,851.75,-3.75,-0.44%,301473,836914
ZSN20,04/14/2020,862.5,864.5,854.25,855.5,-6.75,-0.78%,243665,837282
ZSN20,04/13/2020,871,877.5,858,862.25,-8.75,-1.00%,222806,829805
ZSN20,04/09/2020,861.5,873.75,861.25,871,9.25,+1.07%,251941,823701
ZSN20,04/08/2020,862,867.5,858,861.75,7,+0.82%,192755,818508
ZSK20,04/07/2020,856,862.25,854.25,854.75,-0.75,-0.09%,204147,821968
ZSK20,04/06/2020,853.5,859,848.5,855.5,1.25,+0.15%,151146,816018
ZSK20,04/03/2020,859.75,864.5,850.5,854.25,-4.5,-0.52%,182069,812930
ZSK20,04/02/2020,864.75,870,857,858.75,-4,-0.46%,207829,808128
