,date,daily_return
0,2018-05-10,0.0
1,2018-05-11,-0.0036308835748669025
2,2018-05-14,0.0018559612631095556
3,2018-05-15,-0.0005059180824420839
4,2018-05-16,-0.000758631427726406
5,2018-05-17,-0.009910383992102423
6,2018-05-18,-0.004562817365502235
7,2018-05-21,0.00023827053401510759
8,2018-05-22,0.004279404800948011
9,2018-05-23,-0.014545789167976789
10,2018-05-24,-0.015531797076360978
11,2018-05-25,-0.013143444640129075
12,2018-05-29,-0.028923575668970206
13,2018-05-30,0.0004565344083803443
14,2018-06-01,-0.0006351200277718714
15,2018-06-04,0.011587166663768323
16,2018-06-05,-0.011710631706658375
17,2018-06-06,-0.0008056079198186918
18,2018-06-07,-0.010020890340233846
19,2018-06-08,-0.01187190718844791
20,2018-06-11,0.005750925274227427
21,2018-06-12,0.006009347710798275
22,2018-06-13,-0.00793371179952511
23,2018-06-14,0.0016596086826039603
24,2018-06-15,-0.010569723530244641
25,2018-06-19,-0.012655759105057042
26,2018-06-20,0.004637368884958474
27,2018-06-21,-0.014242320626941786
28,2018-06-22,0.009014462194917111
29,2018-06-25,-0.012276485956200123
30,2018-06-26,0.0030738298982152562
31,2018-06-27,-0.0052334716888502416
32,2018-06-28,0.007099867451023039
33,2018-06-29,0.009587110458271833
34,2018-07-02,-0.003817704277836266
35,2018-07-03,0.0057281250271274215
36,2018-07-05,0.00534497027225913
37,2018-07-06,0.006336852219729343
38,2018-12-11,0.018833327859933996
39,2018-12-12,0.009050453479660313
40,2018-12-13,0.005414243014548934
41,2018-12-14,-0.00936646344058543
42,2018-12-17,-0.008961005291668161
43,2018-12-18,-0.0008510583177048811
44,2018-12-19,-0.008561534755991649
45,2018-12-20,-0.013409621933461131
46,2018-12-21,-0.008972894038975658
47,2018-12-27,0.0017064836004383292
48,2018-12-28,0.011628883256301193
49,2019-01-02,0.009052755087840248
50,2019-01-03,0.0006731470303835202
51,2019-01-04,0.023391224485165497
52,2019-01-07,0.005685354329016554
53,2019-01-08,0.006168986393798191
54,2019-01-09,0.006086665074886079
55,2019-01-10,0.0017632278640913532
56,2019-01-15,0.009208492905919996
57,2019-01-16,0.003302036613893988
58,2019-01-18,0.024712479135606015
59,2019-01-22,-0.015614815696374622
60,2019-01-23,0.0033950901207925738
61,2019-01-24,0.002129501936090509
62,2019-01-28,-0.010199634615075014
63,2019-01-29,0.003716037235084725
64,2019-01-30,0.005059507333867028
65,2019-01-31,0.002809826755332087
66,2019-02-01,0.00264264366105505
67,2019-02-12,0.012155793004126584
68,2019-02-13,0.007575285476390361
69,2019-02-14,0.004046555376251078
70,2019-02-15,0.005509202304359639
71,2019-02-19,0.007514071042642151
72,2019-02-20,0.002103836913797067
73,2019-02-21,0.0008778620275408697
74,2019-02-22,0.008195073880485057
75,2019-02-25,0.013902102882632321
76,2019-02-26,0.0027676538267045795
77,2019-02-27,0.006126394769359161
78,2019-02-28,-0.00647307029049295
79,2019-03-01,0.001327562813182387
80,2019-03-06,0.01363847583156079
81,2019-03-07,-0.0013807552173206673
82,2019-03-08,-0.015066377600230853
83,2019-03-11,0.024433407908182374
84,2019-03-12,0.0055742657317612
85,2019-03-13,-1.2939515213519748e-05
86,2019-03-14,-0.007649397371148183
87,2019-03-15,0.007284726262319193
88,2019-03-18,0.010071088362772833
89,2019-03-19,0.004526905578110362
90,2019-03-20,-0.007377675079084002
91,2019-03-21,0.00016145120345860593
92,2019-03-22,-0.02288734314282994
93,2019-03-25,-0.005409462068239566
94,2019-03-26,0.0026213364284873235
95,2019-03-27,-0.009729327959346489
96,2019-03-28,0.005837593606619434
97,2019-03-29,0.010708215862638395
98,2019-04-01,0.01675267864867582
99,2019-04-02,0.0023048709742756373
100,2019-04-03,0.0020996884179141783
101,2019-04-04,0.008039482390855024
102,2019-04-08,0.0008014496008977831
103,2019-04-09,-0.005466123402198531
104,2019-04-10,0.00031016831616623744
105,2019-04-11,-0.004848437059186059
106,2019-04-12,-0.003924298695924089
107,2019-04-15,0.0009508192343527024
108,2019-04-16,0.011366816866472932
109,2019-04-17,0.0026167718595764486
110,2019-04-18,0.006525114336165725
111,2019-04-23,0.004618592817267766
112,2019-04-24,-0.005738604888200722
113,2019-04-25,-0.003724207849685309
114,2019-04-26,-0.0057652027109476554
115,2019-05-06,-0.027796578920289403
116,2019-05-07,-0.008288723548400455
117,2019-05-08,0.0014131824202851878
118,2019-05-09,-0.012790400658879845
119,2019-05-10,0.0049819271784770445
120,2019-05-13,-0.02211646408547683
121,2019-05-14,0.006254287424117397
122,2019-05-15,0.004975790257847841
123,2019-05-16,0.003950933070570093
124,2019-05-17,-0.011449597752106537
125,2019-05-20,-0.0022215885261764197
126,2019-05-21,0.016542482309092717
127,2019-05-22,-0.006389489535197274
128,2019-05-23,-0.012914545842215245
129,2019-05-24,0.0008772995249820896
130,2019-05-28,0.014766254566690592
131,2019-05-29,-0.004091640618139297
132,2019-05-30,0.001935662055721186
133,2019-05-31,-0.010621558675828344
134,2019-06-03,-0.003567427989045333
135,2019-06-04,0.010953733323242924
136,2019-06-05,-0.0023051017511104793
137,2019-06-06,0.0009082676989767529
138,2019-06-11,0.026106506840734397
139,2019-06-12,-0.004835713170394291
140,2019-06-13,0.005515919232078667
141,2019-06-14,-0.006071371433981281
142,2019-06-17,0.0008409917367321836
143,2019-06-18,0.011632960548510306
144,2019-06-19,0.004251896361255244
145,2019-06-21,0.011180230866896882
146,2019-06-24,-0.001194744498676301
147,2019-06-25,-0.01269380300819149
148,2019-06-26,0.002489288442206469
