,date,daily_return
0,2018-05-10,0.0
1,2018-05-11,-0.0033157083123289605
2,2018-05-14,-0.0008563682136243538
3,2018-05-15,-0.0017543736017262839
4,2018-05-16,-0.00025199019042231946
5,2018-05-17,-0.008944911716008745
6,2018-05-18,-0.0012111278578697266
7,2018-05-21,0.0015532805946746353
8,2018-05-22,0.0055790995598392
9,2018-05-23,-0.010318676075224116
10,2018-05-24,-0.009869740457399597
11,2018-05-25,-0.009369613002936547
12,2018-05-29,-0.021785499107489798
13,2018-05-30,0.0011840989929966504
14,2018-06-01,0.00020821468077009014
15,2018-06-04,0.0016799342275248751
16,2018-06-05,-0.007459968234067299
17,2018-06-06,0.0030475455196993127
18,2018-06-07,-0.008401035848599284
19,2018-06-08,-0.00796619685965028
20,2018-06-11,0.0016636448294262388
21,2018-06-12,0.006349940846144744
22,2018-06-13,-0.008156366235873739
23,2018-06-14,-0.005658364231515629
24,2018-06-15,-0.00958558063531945
25,2018-06-19,-0.01220106684736644
26,2018-06-20,0.0009091153742940603
27,2018-06-21,-0.00972597951767239
28,2018-06-22,0.008814521845933303
29,2018-06-25,-0.01173210140046932
30,2018-06-26,0.002986879368935314
31,2018-06-27,-0.003412006280426272
32,2018-06-28,0.005357683518255842
33,2018-06-29,0.008800900541345536
34,2018-07-02,-0.008164379629941763
35,2018-07-03,0.007082182176644652
36,2018-07-05,0.003496844698780539
37,2018-07-06,0.008235363546001306
38,2018-12-11,0.006008649987911295
39,2018-12-12,0.007228305266189516
40,2018-12-13,0.003623290703698996
41,2018-12-14,-0.007564227915017998
42,2018-12-17,-0.0065912555934118594
43,2018-12-18,-0.0012843675667872938
44,2018-12-19,-0.00800680844263133
45,2018-12-20,-0.009415254317212641
46,2018-12-21,-0.007845180816201709
47,2018-12-27,-0.0015049599413852212
48,2018-12-28,0.009241176044365638
49,2019-01-02,0.0057610548473992435
50,2019-01-03,0.0022270345070678262
51,2019-01-04,0.018066615009277108
52,2019-01-07,0.005983664249458363
53,2019-01-08,0.005797641804356438
54,2019-01-09,0.007510730439742803
55,2019-01-10,-0.0009606448087189203
56,2019-01-15,0.006126205382385395
57,2019-01-16,0.0028557777976477073
58,2019-01-18,0.025920158370497447
59,2019-01-22,-0.013762884510437086
60,2019-01-23,0.002313941391184658
61,2019-01-24,0.0017411189958752857
62,2019-01-28,-0.009130953663248013
63,2019-01-29,0.0027106495277849207
64,2019-01-30,0.0029993793337090035
65,2019-01-31,0.002713569672635856
66,2019-02-01,0.004578156302395014
67,2019-02-12,0.00527903161044877
68,2019-02-13,0.005070935671824794
69,2019-02-14,0.002629387728945097
70,2019-02-15,0.004142533704518429
71,2019-02-19,0.005833687747800102
72,2019-02-20,0.003657571132190618
73,2019-02-21,0.001532537982288721
74,2019-02-22,0.005493323341085413
75,2019-02-25,0.010038753857735552
76,2019-02-26,0.002561201006156374
77,2019-02-27,-0.0003415223475867269
78,2019-02-28,-0.005348243770066974
79,2019-03-01,0.0003316972229167446
80,2019-03-06,0.008168314650441119
81,2019-03-07,0.00021583707128185474
82,2019-03-08,-0.011928707219013467
83,2019-03-11,0.016425075731399758
84,2019-03-12,0.0043148037227282955
85,2019-03-13,0.00022008772621097736
86,2019-03-14,-0.006356038493434909
87,2019-03-15,0.007147150309266488
88,2019-03-18,0.008597978540856867
89,2019-03-19,0.0037950667970189055
90,2019-03-20,-0.008408124764501522
91,2019-03-21,0.0019065900293735178
92,2019-03-22,-0.01690674566732348
93,2019-03-25,-0.005285009453684643
94,2019-03-26,0.0025280474038125514
95,2019-03-27,-0.009583940238536084
96,2019-03-28,0.004803520551483684
97,2019-03-29,0.0071794033088078925
98,2019-04-01,0.014510161751702324
99,2019-04-02,0.0018284997166558388
100,2019-04-03,0.001503673678966992
101,2019-04-04,0.007340339999155923
102,2019-04-08,0.0014021961446386796
103,2019-04-09,-0.0061160484817478645
104,2019-04-10,0.0016254240912614035
105,2019-04-11,-0.004434613055501113
106,2019-04-12,-0.0010408111489348542
107,2019-04-15,0.0014108544124625173
108,2019-04-16,0.005866311207597048
109,2019-04-17,0.0012533378370910096
110,2019-04-18,0.005509120866676201
111,2019-04-23,0.0008176745878326181
112,2019-04-24,-0.006414186450015227
113,2019-04-25,-0.003228752551275687
114,2019-04-26,-0.0027438830580834876
115,2019-05-06,-0.024249116833672552
116,2019-05-07,-0.005219591048250346
117,2019-05-08,0.000370498014866809
118,2019-05-09,-0.010945601817558657
119,2019-05-10,0.0044376885739365445
120,2019-05-13,-0.016750366950106718
121,2019-05-14,0.008256743907925558
122,2019-05-15,0.0036922067172242205
123,2019-05-16,0.0059446605539958805
124,2019-05-17,-0.007896683015688867
125,2019-05-20,-0.0008145887114644801
126,2019-05-21,0.013324292891066352
127,2019-05-22,-0.005627557679810863
128,2019-05-23,-0.010241296657020862
129,2019-05-24,0.0033823009621270004
130,2019-05-28,0.017243460981951474
131,2019-05-29,-0.0014000069391339714
132,2019-05-30,0.005019219573093501
133,2019-05-31,-0.012022788230531585
134,2019-06-03,-0.0008856452568820269
135,2019-06-04,0.008063391335126464
136,2019-06-05,-0.007093019952094556
137,2019-06-06,0.0038272825747230027
138,2019-06-11,0.01908446745176465
139,2019-06-12,-0.0012792264452527713
140,2019-06-13,0.005902638514979588
141,2019-06-14,-0.0030160274767934377
142,2019-06-17,0.0015198022247585412
143,2019-06-18,0.009200069682475418
144,2019-06-19,0.0016580987984854897
145,2019-06-21,0.01328148484437783
146,2019-06-24,0.001024385000451225
147,2019-06-25,-0.008734889350377395
148,2019-06-26,0.00017483699947092472
