,date,daily_return
0,2018-05-10,0.0
1,2018-05-11,-0.003052652997167412
2,2018-05-14,-9.020709563754339e-05
3,2018-05-15,-0.0017424930155438643
4,2018-05-16,-0.0006644974377922278
5,2018-05-17,-0.007827169514135696
6,2018-05-18,-0.0026029050010892493
7,2018-05-21,0.000596568160057695
8,2018-05-22,0.004909527180238425
9,2018-05-23,-0.011223459616800194
10,2018-05-24,-0.01049793952777086
11,2018-05-25,-0.01039619555488777
12,2018-05-29,-0.024187053674295304
13,2018-05-30,0.001974216635129031
14,2018-06-01,0.0023279252218291907
15,2018-06-04,0.004829100930703996
16,2018-06-05,-0.00869045647090439
17,2018-06-06,-0.00015411170586815577
18,2018-06-07,-0.008202609054067559
19,2018-06-08,-0.008678932629268055
20,2018-06-11,0.0037388601058556256
21,2018-06-12,0.006731470787706494
22,2018-06-13,-0.0063420704529160024
23,2018-06-14,-0.0025120301211902403
24,2018-06-15,-0.010057535177141579
25,2018-06-19,-0.010910440421712055
26,2018-06-20,0.0019280173214795966
27,2018-06-21,-0.010351545042151205
28,2018-06-22,0.008548646420145382
29,2018-06-25,-0.011868989995678241
30,2018-06-26,0.002982143987639076
31,2018-06-27,-0.0037963614777199524
32,2018-06-28,0.005152869134191774
33,2018-06-29,0.008916596449978139
34,2018-07-02,-0.006971020605735651
35,2018-07-03,0.006339744657059282
36,2018-07-05,0.004384277864629056
37,2018-07-06,0.007699584898162909
38,2018-12-11,0.010516363662029134
39,2018-12-12,0.007850367379182526
40,2018-12-13,0.0047990265957389405
41,2018-12-14,-0.008052049723873207
42,2018-12-17,-0.007163768630604117
43,2018-12-18,-0.0005882048414635739
44,2018-12-19,-0.007659920723573227
45,2018-12-20,-0.010569999973701621
46,2018-12-21,-0.008284066079437213
47,2018-12-27,0.0002948688189628344
48,2018-12-28,0.009911288676692585
49,2019-01-02,0.006744950686553018
50,2019-01-03,0.003892219200631458
51,2019-01-04,0.018700039541612194
52,2019-01-07,0.005418004874176548
53,2019-01-08,0.0060147403358467525
54,2019-01-09,0.0064470552680818615
55,2019-01-10,0.00040745014272529936
56,2019-01-15,0.0043533148098457335
57,2019-01-16,0.00356694531323239
58,2019-01-18,0.022656450159191904
59,2019-01-22,-0.014124988625799218
60,2019-01-23,0.00313886325007179
61,2019-01-24,0.0018938954321744172
62,2019-01-28,-0.005698002260264569
63,2019-01-29,0.004147878913640095
64,2019-01-30,0.005631165413466306
65,2019-01-31,0.003411475768702406
66,2019-02-01,0.003584174417338825
67,2019-02-12,0.008503138241627269
68,2019-02-13,0.004988512893548454
69,2019-02-14,0.0022010564730675806
70,2019-02-15,0.003850404714607624
71,2019-02-19,0.0054045669638178055
72,2019-02-20,0.002265743884720613
73,2019-02-21,0.00012142525530908652
74,2019-02-22,0.00759716445527871
75,2019-02-25,0.009007022798879435
76,2019-02-26,0.0025309133962245095
77,2019-02-27,0.0028769748509567053
78,2019-02-28,-0.006095031164924467
79,2019-03-01,0.0010551484686407665
80,2019-03-06,0.009312739436392046
81,2019-03-07,-0.0013764443348614134
82,2019-03-08,-0.011374109614418136
83,2019-03-11,0.017262308745295486
84,2019-03-12,0.0042483901477024045
85,2019-03-13,0.0004944888522177915
86,2019-03-14,-0.005798088542317075
87,2019-03-15,0.007070042725513502
88,2019-03-18,0.008147054169081422
89,2019-03-19,0.0033156196150951047
90,2019-03-20,-0.006414050667134091
91,2019-03-21,0.0015585171280473918
92,2019-03-22,-0.017261600441250458
93,2019-03-25,-0.004302951845233189
94,2019-03-26,0.0022642398402851938
95,2019-03-27,-0.009736303306848985
96,2019-03-28,0.0041063210537939645
97,2019-03-29,0.0077690041101973525
98,2019-04-01,0.0141279401062229
99,2019-04-02,0.0018309036963676862
100,2019-04-03,0.0025067979151216124
101,2019-04-04,0.006939922473966237
102,2019-04-08,0.000823960538444219
103,2019-04-09,-0.005135218066923894
104,2019-04-10,0.0016919396380703667
105,2019-04-11,-0.004905993837826107
106,2019-04-12,-0.0016217743629032286
107,2019-04-15,0.001675017032754107
108,2019-04-16,0.006794707416353813
109,2019-04-17,0.00045115220068885065
110,2019-04-18,0.00569030824083508
111,2019-04-23,0.0022238834791695554
112,2019-04-24,-0.006886760809933692
113,2019-04-25,-0.0019068240819038644
114,2019-04-26,-0.0024739571862152842
115,2019-05-06,-0.022067713445390765
116,2019-05-07,-0.005853551513934734
117,2019-05-08,0.00011032232137995774
118,2019-05-09,-0.009630693490700922
119,2019-05-10,0.0039221539042607
120,2019-05-13,-0.018122988911990358
121,2019-05-14,0.007480726794133172
122,2019-05-15,0.004741503485089468
123,2019-05-16,0.005950736169121688
124,2019-05-17,-0.008127282246820352
125,2019-05-20,-0.00021640410365176936
126,2019-05-21,0.014345163214051954
127,2019-05-22,-0.00560530848052867
128,2019-05-23,-0.011279122452597042
129,2019-05-24,0.004080555089593885
130,2019-05-28,0.016130604110165914
131,2019-05-29,-0.002639541525404958
132,2019-05-30,0.0037646926474003647
133,2019-05-31,-0.010642602573899778
134,2019-06-03,-0.003141090162021863
135,2019-06-04,0.008800659494210002
136,2019-06-05,-0.005928736939940845
137,2019-06-06,0.0038804129190845426
138,2019-06-11,0.02155182755755522
139,2019-06-12,-0.002275688889202995
140,2019-06-13,0.007489735653473777
141,2019-06-14,-0.003293046180411695
142,2019-06-17,0.00148138776327448
143,2019-06-18,0.008910531379779898
144,2019-06-19,0.001818994966603409
145,2019-06-21,0.012064213758118602
146,2019-06-24,0.00033043734641790537
147,2019-06-25,-0.009575420844039003
148,2019-06-26,0.0012814414913746668
