date,600010.SS,600050.SS,600157.SS,600537.SS,600777.SS,600795.SS,601288.SS,601398.SS,601899.SS,603993.SS,AAPL,AMZN,B3SA3.SA,BAC,BBAS3.SA,BBDC4.SA,BBVA.MC,CB,CMCSA,CS.PA,DTE.DE,ELET3.SA,ENEL.MI,ENI.MI,F,FL,GC,GOOGL,IBE.MC,INGA.AS,INTC,ITUB4.SA,KC,LE,META,MGLU3.SA,MSFT,PETR3.SA,PETR4.SA,RENT3.SA,SAN.MC,STLA.MI,T,TR,VALE3.SA,ZC,ZR,ZS,ZW,iSP.MI
2018-05-10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2018-05-11,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-14,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-15,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-16,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-17,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-18,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-21,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-22,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
2018-05-23,0.01661655306816101,0.02058894746005535,0.019196629524230957,0.027969900518655777,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.02019578218460083,0.01661655306816101,0.021076450124382973,0.01661655306816101,0.029529225081205368,0.02103169448673725,0.01661655306816101,0.01661655306816101,0.019749151542782784,0.01661655306816101,0.01661655306816101,0.01746012642979622,0.01661655306816101,0.01661655306816101,0.01804433763027191,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.028915418311953545,0.020291060209274292,0.01661655306816101,0.019060548394918442,0.022784845903515816,0.01661655306816101,0.01661655306816101,0.017313241958618164,0.01661655306816101,0.01661655306816101,0.01661655306816101,0.017725171521306038,0.01909770257771015,0.024677420035004616,0.028736015781760216,0.01661655306816101,0.020114770159125328,0.01661655306816101,0.029637660831212997,0.025941744446754456,0.01661655306816101,0.045168470591306686,0.033663321286439896,0.01661655306816101
